,x,y,label,state
3060,-0.49408439471234344,-5.314168156807239,7,CA
3063,-0.2011989904638292,-2.5653578844087876,0,NC
3066,-6.564201532754279,-1.2194404573167532,7,AR
3068,-5.172275469176343,-1.4348386873231496,7,CA
3069,0.7070791361073739,-4.891774014705756,7,CA
3072,11.431612386629014,-7.376924513396394,4,CA
3078,1.2713245723494595,-4.332007998258468,7,CA
3080,7.778208022632766,-6.800898550424012,4,CA
3083,-9.285773396567151,-0.30293727640767987,4,CA
3087,-5.571652159909433,-0.5724670671980796,1,NC
3100,-7.664185995493735,-0.19789424556540886,4,CA
3101,-3.933993810763541,-2.914549745292548,7,CA
3123,4.629901302571501,-4.871842271710136,0,NC
3124,-0.5627372878336143,-2.387407877453604,4,CA
3126,-3.720407818672326,-1.5849565573920776,4,NC
3132,-3.7124338694425005,-2.3259580303395166,7,CA
3142,-3.225510839848639,-2.7298086574517733,4,CA
